fg%;3p%;ft%;orb;drb;trb;ast;stl;blk;tov;pts;ts%;efg%;3par;ftr;orb%;drb%;trb%;ast%;stl%;blk%;tov%;usg%;ortg;drtg;team;team_opp;total_opp;season;date;won
0.478;0.333;0.824;12.0;33.0;45.0;26.0;7.0;5.0;16.0;110.0;0.564;0.533;0.333;0.189;29.3;78.6;54.2;60.5;7.1;8.6;14.1;100.0;111.8;116.8;LAL;DAL;115;2021;22/04/2021;False
0.488;0.375;0.722;9.0;29.0;38.0;23.0;11.0;5.0;12.0;115.0;0.588;0.543;0.293;0.439;21.4;70.7;45.8;57.5;11.2;8.3;10.9;100.0;116.8;111.8;DAL;LAL;110;2021;22/04/2021;True
0.471;0.316;0.6;12.0;29.0;41.0;15.0;9.0;3.0;20.0;95.0;0.519;0.506;0.224;0.176;30.0;69.0;50.0;37.5;9.3;4.3;17.9;100.0;98.5;113.0;DET;GSW;109;2016;9/11/2015;False
0.473;0.571;0.846;13.0;28.0;41.0;29.0;13.0;4.0;16.0;109.0;0.563;0.538;0.231;0.143;31.0;70.0;50.0;67.4;13.5;6.1;14.2;100.0;113.0;98.5;GSW;DET;95;2016;9/11/2015;True
0.481;0.35;0.714;7.0;29.0;36.0;20.0;4.0;5.0;8.0;96.0;0.557;0.526;0.26;0.273;17.5;67.4;43.4;54.1;4.6;8.8;8.5;100.0;110.4;132.2;MEM;POR;115;2016;5/11/2015;False
0.506;0.5;0.6;14.0;33.0;47.0;29.0;3.0;3.0;8.0;115.0;0.6;0.592;0.345;0.23;32.6;82.5;56.6;65.9;3.4;5.3;7.7;100.0;132.2;110.4;POR;MEM;96;2016;5/11/2015;True
0.396;0.361;0.793;15.0;35.0;50.0;21.0;9.0;3.0;9.0;108.0;0.52;0.467;0.396;0.319;27.3;83.3;51.5;58.3;9.5;8.1;8.0;100.0;113.5;115.6;MIN;DAL;110;2022;21/03/2022;False
0.482;0.304;0.762;7.0;40.0;47.0;27.0;5.0;3.0;11.0;110.0;0.596;0.566;0.554;0.253;16.7;72.7;48.5;67.5;5.3;5.5;10.7;100.0;115.6;113.5;DAL;MIN;108;2022;21/03/2022;True
0.422;0.371;0.724;15.0;36.0;51.0;21.0;5.0;3.0;18.0;110.0;0.535;0.494;0.389;0.322;29.4;83.7;54.3;55.3;4.8;5.6;14.9;100.0;105.7;124.9;UTA;TOR;130;2020;1/12/2019;False
0.522;0.528;0.81;7.0;36.0;43.0;36.0;14.0;8.0;14.0;130.0;0.655;0.628;0.4;0.233;16.3;70.6;45.7;76.6;13.5;14.5;12.4;100.0;124.9;105.7;TOR;UTA;110;2020;1/12/2019;True
0.407;0.382;0.727;8.0;26.0;34.0;19.0;4.0;3.0;6.0;103.0;0.512;0.478;0.374;0.242;15.1;76.5;39.1;51.4;4.2;4.9;5.6;100.0;107.9;118.3;SAS;NOP;113;2022;13/04/2022;False
0.543;0.4;0.739;8.0;45.0;53.0;25.0;4.0;7.0;13.0;113.0;0.62;0.593;0.247;0.284;23.5;84.9;60.9;56.8;4.2;12.3;12.5;100.0;118.3;107.9;NOP;SAS;103;2022;13/04/2022;True
0.472;0.32;0.769;15.0;32.0;47.0;33.0;11.0;5.0;7.0;118.0;0.528;0.509;0.236;0.123;28.8;74.4;49.5;66.0;11.1;9.4;5.9;100.0;118.9;107.8;MEM;MIN;107;2021;13/01/2021;True
0.433;0.243;0.833;11.0;37.0;48.0;27.0;3.0;6.0;12.0;107.0;0.532;0.483;0.411;0.267;25.6;71.2;50.5;69.2;3.0;7.4;10.7;100.0;107.8;118.9;MIN;MEM;118;2021;13/01/2021;False
0.547;0.37;0.588;2.0;37.0;39.0;27.0;8.0;4.0;17.0;114.0;0.61;0.605;0.314;0.198;5.9;69.8;44.8;57.4;7.5;5.1;15.4;100.0;106.8;114.3;PHO;MEM;122;2022;1/04/2022;False
0.451;0.292;0.821;16.0;32.0;48.0;30.0;7.0;2.0;11.0;122.0;0.534;0.485;0.235;0.275;30.2;94.1;55.2;65.2;6.6;3.4;8.8;100.0;114.3;106.8;MEM;PHO;114;2022;1/04/2022;True
0.435;0.389;0.9;16.0;37.0;53.0;22.0;8.0;6.0;16.0;105.0;0.521;0.473;0.196;0.217;34.8;67.3;52.5;55.0;8.2;8.3;13.7;100.0;108.1;98.9;CHI;OKC;96;2016;25/12/2015;True
0.385;0.25;0.696;18.0;30.0;48.0;20.0;12.0;3.0;13.0;96.0;0.452;0.417;0.25;0.24;32.7;65.2;47.5;54.1;12.4;4.1;10.9;100.0;98.9;108.1;OKC;CHI;105;2016;25/12/2015;False
0.466;0.48;0.636;3.0;28.0;31.0;24.0;9.0;3.0;7.0;108.0;0.553;0.534;0.284;0.25;7.1;75.7;39.2;58.5;9.1;5.9;6.7;100.0;109.5;119.7;DEN;UTA;118;2019;9/04/2019;False
